code,ecs,claim_count,claims_found,claim_status
21908476230,0.875,7,this product is environmentally friendly|this product is organic|this product is natural|this product is healthy|this product is sustainable|this product contains no artificial ingredients|this product is pure and clean,ok
13130006989,0.0,0,,ok
29737103396,0.5,4,this product is healthy|this product is sustainable|this product is environmentally friendly|this product is organic,ok
15400196901,1.0,8,this product is natural|this product is organic|this product is environmentally friendly|this product contains no artificial ingredients|this product is sustainable|this product is healthy|this product is pure and clean|this product contains no preservatives,ok
39217044224,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
16000409972,0.0,0,,ok
36800422230,0.75,6,this product is organic|this product is natural|this product is sustainable|this product is environmentally friendly|this product is healthy|this product is pure and clean,ok
30223042051,0.375,3,this product is environmentally friendly|this product is sustainable|this product is organic,ok
11213033792,0.0,0,,ok
41270025072,0.125,1,this product is environmentally friendly,ok
609900114,0.375,3,this product is natural|this product is healthy|this product is environmentally friendly,ok
16073123454,0.75,6,this product is environmentally friendly|this product is healthy|this product is natural|this product is organic|this product is sustainable|this product is pure and clean,ok
12000012785,0.0,0,,ok
20526012288,0.75,6,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is pure and clean|this product is healthy,ok
11150074025,0.75,6,this product is environmentally friendly|this product is natural|this product is organic|this product is pure and clean|this product is healthy|this product is sustainable,ok
36800389663,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is healthy,ok
41190012695,0.125,1,this product is environmentally friendly,ok
36731135513,1.0,8,this product contains no artificial ingredients|this product is natural|this product is organic|this product is environmentally friendly|this product is healthy|this product is sustainable|this product contains no preservatives|this product is pure and clean,ok
23545211229,0.375,3,this product is environmentally friendly|this product is natural|this product is healthy,ok
23923320116,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
39047001077,0.75,6,this product is natural|this product contains no artificial ingredients|this product is pure and clean|this product is healthy|this product is organic|this product is sustainable,ok
11150998420,0.0,0,,ok
36800420397,0.875,7,this product is environmentally friendly|this product is organic|this product is sustainable|this product is natural|this product is healthy|this product is pure and clean|this product contains no artificial ingredients,ok
41318300512,1.0,8,this product contains no artificial ingredients|this product is natural|this product is healthy|this product is organic|this product is environmentally friendly|this product is pure and clean|this product is sustainable|this product contains no preservatives,ok
41000214042,0.0,0,,ok
41000022593,0.0,0,,ok
21000057122,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
39978009906,1.0,8,this product is natural|this product is organic|this product is environmentally friendly|this product is sustainable|this product contains no artificial ingredients|this product is healthy|this product is pure and clean|this product contains no preservatives,ok
30223006343,0.875,7,this product is environmentally friendly|this product is natural|this product is organic|this product is sustainable|this product is healthy|this product contains no artificial ingredients|this product is pure and clean,ok
28190007814,0.5,4,this product contains no artificial ingredients|this product is environmentally friendly|this product is healthy|this product contains no preservatives,ok
24335160062,0.875,7,this product is environmentally friendly|this product is organic|this product is healthy|this product is natural|this product is sustainable|this product is pure and clean|this product contains no artificial ingredients,ok
21000005208,0.125,1,this product is natural,ok
21908743295,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
12511801335,0.625,5,this product is organic|this product is sustainable|this product is environmentally friendly|this product is natural|this product is healthy,ok
13413796293,0.5,4,this product is natural|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
41000321764,0.0,0,,ok
22506002005,0.875,7,this product contains no artificial ingredients|this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is pure and clean|this product is healthy,ok
24182029505,0.875,7,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is pure and clean|this product contains no artificial ingredients|this product is healthy,ok
41420108136,0.5,4,this product is environmentally friendly|this product is organic|this product is sustainable|this product is healthy,ok
34538837654,0.625,5,this product is environmentally friendly|this product is organic|this product is sustainable|this product is natural|this product is healthy,ok
120623,0.0,0,,ok
127135,0.25,2,this product is environmentally friendly|this product is healthy,ok
41190042579,0.75,6,this product is healthy|this product is natural|this product is organic|this product is environmentally friendly|this product contains no artificial ingredients|this product is sustainable,ok
36800422117,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is natural,ok
28190001416,0.375,3,this product is healthy|this product is environmentally friendly|this product is sustainable,ok
12000012754,0.0,0,,ok
41220997251,0.5,4,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
11150479516,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is healthy|this product is sustainable,ok
23923200043,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is pure and clean|this product is healthy,ok
36800107922,0.75,6,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
36800405455,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is natural,ok
36800049734,0.875,7,this product is environmentally friendly|this product is natural|this product is sustainable|this product is pure and clean|this product is organic|this product is healthy|this product contains no artificial ingredients,ok
12511446529,0.875,7,this product is organic|this product is environmentally friendly|this product is sustainable|this product contains no artificial ingredients|this product is natural|this product is pure and clean|this product is healthy,ok
19646005348,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is healthy,ok
26396908256,0.625,5,this product is healthy|this product is natural|this product is environmentally friendly|this product is sustainable|this product is organic,ok
32601025526,0.625,5,this product is organic|this product is sustainable|this product is environmentally friendly|this product is healthy|this product is natural,ok
23254111155,0.125,1,this product is sustainable,ok
11213515083,0.5,4,this product is environmentally friendly|this product is healthy|this product is sustainable|this product is pure and clean,ok
17873705178,0.375,3,this product is environmentally friendly|this product is sustainable|this product is healthy,ok
11535504765,0.0,0,,ok
41303046210,0.0,0,,ok
39059551034,0.0,0,,ok
25293001060,0.875,7,this product is organic|this product is natural|this product is pure and clean|this product contains no artificial ingredients|this product is sustainable|this product is healthy|this product is environmentally friendly,ok
21908632087,0.875,7,this product is environmentally friendly|this product is natural|this product is organic|this product contains no artificial ingredients|this product is sustainable|this product is healthy|this product is pure and clean,ok
24182021509,0.875,7,this product is natural|this product is organic|this product is environmentally friendly|this product is healthy|this product is sustainable|this product contains no artificial ingredients|this product is pure and clean,ok
41000142130,0.0,0,,ok
21908504018,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is natural,ok
30871004500,0.625,5,this product is organic|this product is environmentally friendly|this product is healthy|this product is sustainable|this product is natural,ok
31493060653,0.5,4,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
30684016974,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is healthy,ok
37272089013,0.625,5,this product is natural|this product is healthy|this product is sustainable|this product is environmentally friendly|this product is organic,ok
15400191067,0.5,4,this product is environmentally friendly|this product is sustainable|this product is organic|this product is healthy,ok
27328910019,0.5,4,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable,ok
15400190015,0.75,6,this product is organic|this product is natural|this product is environmentally friendly|this product is healthy|this product is sustainable|this product is pure and clean,ok
33776017712,0.5,4,this product is pure and clean|this product is sustainable|this product is environmentally friendly|this product is healthy,ok
41268169429,0.875,7,this product is natural|this product contains no artificial ingredients|this product is healthy|this product is environmentally friendly|this product is sustainable|this product is organic|this product is pure and clean,ok
35826024732,0.875,7,this product is natural|this product contains no artificial ingredients|this product is healthy|this product is pure and clean|this product is organic|this product is environmentally friendly|this product is sustainable,ok
19646005065,0.625,5,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy,ok
13562002603,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is healthy|this product is sustainable,ok
39978038524,0.875,7,this product is natural|this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is pure and clean|this product contains no artificial ingredients,ok
26395780167,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is pure and clean|this product is healthy|this product is sustainable,ok
41000008641,0.0,0,,ok
14821195555,0.0,0,,ok
25317323000,0.125,1,this product is environmentally friendly,ok
20662005830,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
460938714,0.25,2,this product is sustainable|this product is natural,ok
21908455594,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is healthy|this product is sustainable,ok
36800046252,0.875,7,this product is environmentally friendly|this product is organic|this product contains no artificial ingredients|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
41303008256,0.5,4,this product is natural|this product is environmentally friendly|this product is sustainable|this product is organic,ok
39217023021,0.5,4,this product is organic|this product is sustainable|this product is environmentally friendly|this product is healthy,ok
36200223024,0.375,3,this product is organic|this product is environmentally friendly|this product is sustainable,ok
25484000292,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is healthy|this product is pure and clean|this product is sustainable,ok
41000072390,0.0,0,,ok
23933653242,0.375,3,this product is healthy|this product is environmentally friendly|this product is sustainable,ok
36800336070,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is natural,ok
41415086081,0.0,0,,ok
20500017094,0.75,6,this product is pure and clean|this product is sustainable|this product is natural|this product is environmentally friendly|this product is organic|this product is healthy,ok
24335304206,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is pure and clean|this product is healthy,ok
11535505809,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is pure and clean,ok
23923202092,0.5,4,this product is organic|this product is healthy|this product is environmentally friendly|this product is sustainable,ok
22506003873,0.75,6,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
22506677890,1.0,8,this product is natural|this product is organic|this product is environmentally friendly|this product is pure and clean|this product is healthy|this product contains no artificial ingredients|this product is sustainable|this product contains no preservatives,ok
21908455525,0.625,5,this product is environmentally friendly|this product is organic|this product is natural|this product is healthy|this product is sustainable,ok
11150734769,0.625,5,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is healthy,ok
30568115298,0.75,6,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is pure and clean|this product is natural,ok
36800012059,0.75,6,this product is organic|this product is environmentally friendly|this product is natural|this product is healthy|this product is pure and clean|this product is sustainable,ok
41190460373,0.25,2,this product is natural|this product is environmentally friendly,ok
18894123262,0.0,0,,ok
31142526752,0.625,5,this product is natural|this product is organic|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
36800418226,0.0,0,,ok
31142001334,0.75,6,this product is natural|this product is pure and clean|this product is environmentally friendly|this product is healthy|this product is sustainable|this product is organic,ok
22655829263,0.0,0,,ok
12000012730,0.0,0,,ok
37600132831,0.625,5,this product is natural|this product is healthy|this product is environmentally friendly|this product contains no artificial ingredients|this product is organic,ok
31506330278,0.125,1,this product is environmentally friendly,ok
13562000869,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is natural,ok
11194365349,0.0,0,,ok
41497094639,0.0,0,,ok
35844145754,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
12511211356,1.0,8,this product is natural|this product is organic|this product is pure and clean|this product is environmentally friendly|this product is sustainable|this product contains no artificial ingredients|this product is healthy|this product contains no preservatives,ok
21130048892,0.875,7,this product is natural|this product contains no artificial ingredients|this product is organic|this product is healthy|this product is pure and clean|this product is environmentally friendly|this product is sustainable,ok
19646005461,1.0,8,this product is environmentally friendly|this product contains no artificial ingredients|this product is pure and clean|this product is natural|this product is sustainable|this product is organic|this product is healthy|this product contains no preservatives,ok
32601089337,0.5,4,this product is organic|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
13562491612,0.75,6,this product is organic|this product is environmentally friendly|this product is healthy|this product is sustainable|this product is natural|this product is pure and clean,ok
41220908851,0.5,4,this product is environmentally friendly|this product is organic|this product is sustainable|this product is healthy,ok
23923206038,0.5,4,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
11150001076,0.0,0,,ok
27568060871,0.0,0,,ok
41420411229,0.375,3,this product is organic|this product is sustainable|this product is environmentally friendly,ok
41196138634,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
39047001312,0.25,2,this product is sustainable|this product is environmentally friendly,ok
34000722099,0.0,0,,ok
41415377431,0.625,5,this product is environmentally friendly|this product is organic|this product is sustainable|this product is natural|this product is healthy,ok
11150180535,0.25,2,this product is natural|this product is environmentally friendly,ok
31493082006,0.5,4,this product is environmentally friendly|this product is organic|this product is sustainable|this product is healthy,ok
20735112427,1.0,8,this product is environmentally friendly|this product contains no artificial ingredients|this product is healthy|this product is pure and clean|this product is natural|this product is sustainable|this product is organic|this product contains no preservatives,ok
13562300129,0.625,5,this product is organic|this product is sustainable|this product is environmentally friendly|this product is healthy|this product is natural,ok
22506165052,0.75,6,this product is organic|this product contains no artificial ingredients|this product is natural|this product is sustainable|this product is environmentally friendly|this product is pure and clean,ok
19063012769,0.0,0,,ok
25293003637,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
32601901868,0.875,7,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy|this product contains no artificial ingredients|this product is pure and clean,ok
15400196314,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
41000119767,0.0,0,,ok
36800087040,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is pure and clean|this product is healthy,ok
36800177413,0.75,6,this product is natural|this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is pure and clean,ok
31493060578,0.625,5,this product is environmentally friendly|this product is sustainable|this product is organic|this product is healthy|this product is natural,ok
12993112035,0.875,7,this product is natural|this product contains no artificial ingredients|this product is pure and clean|this product is environmentally friendly|this product is organic|this product is sustainable|this product is healthy,ok
41220021819,0.875,7,this product is environmentally friendly|this product is organic|this product is sustainable|this product is healthy|this product contains no artificial ingredients|this product is natural|this product is pure and clean,ok
30684700880,0.0,0,,ok
41318210576,0.0,0,,ok
36800056091,0.875,7,this product is natural|this product is organic|this product is environmentally friendly|this product contains no artificial ingredients|this product is sustainable|this product is pure and clean|this product is healthy,ok
11150021050,0.75,6,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is pure and clean|this product is healthy,ok
11213031705,0.25,2,this product is healthy|this product is environmentally friendly,ok
41318171471,0.875,7,this product is natural|this product is organic|this product is pure and clean|this product contains no artificial ingredients|this product is healthy|this product is environmentally friendly|this product is sustainable,ok
36800114302,0.75,6,this product is pure and clean|this product is natural|this product is healthy|this product is environmentally friendly|this product is organic|this product is sustainable,ok
19063232334,0.0,0,,ok
35826076410,0.875,7,this product is natural|this product is pure and clean|this product is sustainable|this product is healthy|this product is organic|this product contains no artificial ingredients|this product is environmentally friendly,ok
36800389700,0.25,2,this product is sustainable|this product is environmentally friendly,ok
11150272513,0.875,7,this product is natural|this product contains no artificial ingredients|this product is sustainable|this product is pure and clean|this product is environmentally friendly|this product is healthy|this product is organic,ok
20735112021,1.0,8,this product is natural|this product contains no artificial ingredients|this product is environmentally friendly|this product is healthy|this product is pure and clean|this product is sustainable|this product is organic|this product contains no preservatives,ok
41449450193,0.5,4,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
21718412169,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
41190008940,0.125,1,this product is natural,ok
21985220238,0.5,4,this product is healthy|this product is sustainable|this product is environmentally friendly|this product is natural,ok
35826058836,0.875,7,this product is natural|this product contains no artificial ingredients|this product is pure and clean|this product is organic|this product is healthy|this product is environmentally friendly|this product is sustainable,ok
19521550079,0.875,7,this product is environmentally friendly|this product is organic|this product is natural|this product contains no artificial ingredients|this product is sustainable|this product is pure and clean|this product is healthy,ok
39047017689,0.0,0,,ok
23547400218,0.75,6,this product is organic|this product is natural|this product is healthy|this product is sustainable|this product is environmentally friendly|this product is pure and clean,ok
20700411005,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is healthy|this product is sustainable,ok
30223004233,0.625,5,this product is organic|this product is sustainable|this product is environmentally friendly|this product is natural|this product is healthy,ok
12993112028,1.0,8,this product contains no artificial ingredients|this product is natural|this product is pure and clean|this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product contains no preservatives,ok
41318290431,0.625,5,this product is natural|this product is pure and clean|this product is healthy|this product is environmentally friendly|this product is sustainable,ok
41190576098,0.625,5,this product is healthy|this product is sustainable|this product is natural|this product is environmentally friendly|this product is pure and clean,ok
41253001857,0.75,6,this product is organic|this product contains no artificial ingredients|this product is natural|this product is environmentally friendly|this product is pure and clean|this product is sustainable,ok
25317006958,0.5,4,this product is natural|this product contains no artificial ingredients|this product is environmentally friendly|this product is organic,ok
11110503329,1.0,8,this product is natural|this product is pure and clean|this product is organic|this product contains no artificial ingredients|this product is sustainable|this product is environmentally friendly|this product is healthy|this product contains no preservatives,ok
41190459544,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
24335162264,0.875,7,this product is environmentally friendly|this product is organic|this product is natural|this product is pure and clean|this product is healthy|this product is sustainable|this product contains no artificial ingredients,ok
34856881230,0.125,1,this product is environmentally friendly,ok
39045192029,0.0,0,,ok
20662000217,0.5,4,this product is natural|this product is healthy|this product is environmentally friendly|this product is sustainable,ok
11110849397,0.875,7,this product is environmentally friendly|this product is organic|this product is natural|this product contains no artificial ingredients|this product is pure and clean|this product is healthy|this product is sustainable,ok
11150511186,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
12005000589,0.625,5,this product is natural|this product contains no artificial ingredients|this product is environmentally friendly|this product is healthy|this product is pure and clean,ok
41220021826,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
36800079427,0.5,4,this product is organic|this product is sustainable|this product is healthy|this product is environmentally friendly,ok
34500140089,0.0,0,,ok
41497099672,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
20601409354,0.75,6,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is pure and clean|this product is healthy,ok
41188048132,0.0,0,,ok
20487007200,0.75,6,this product is natural|this product is environmentally friendly|this product is organic|this product is healthy|this product is sustainable|this product is pure and clean,ok
290906,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is healthy|this product is natural,ok
32251055461,0.0,0,,ok
36800151246,0.625,5,this product is organic|this product is natural|this product is environmentally friendly|this product is sustainable|this product is healthy,ok
17600083067,0.625,5,this product is natural|this product is healthy|this product is organic|this product is pure and clean|this product is environmentally friendly,ok
13087218220,0.0,0,,ok
41318021356,0.125,1,this product is environmentally friendly,ok
33900000276,0.75,6,this product is natural|this product is healthy|this product is organic|this product is environmentally friendly|this product is pure and clean|this product is sustainable,ok
11150094467,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
36800378445,0.375,3,this product is natural|this product is environmentally friendly|this product is sustainable,ok
23254665184,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is pure and clean|this product is healthy|this product is sustainable,ok
19646003856,0.25,2,this product is environmentally friendly|this product is sustainable,ok
20526012608,0.625,5,this product is organic|this product is environmentally friendly|this product is sustainable|this product is natural|this product is healthy,ok
41000531729,0.0,0,,ok
33776100803,0.625,5,this product is natural|this product is environmentally friendly|this product is healthy|this product contains no artificial ingredients|this product is sustainable,ok
21908501406,0.625,5,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy,ok
21130043972,0.875,7,this product is natural|this product is organic|this product contains no artificial ingredients|this product is environmentally friendly|this product is healthy|this product is sustainable|this product is pure and clean,ok
39047018167,0.75,6,this product is natural|this product contains no artificial ingredients|this product is healthy|this product is sustainable|this product is pure and clean|this product is environmentally friendly,ok
30223008903,0.25,2,this product is healthy|this product is environmentally friendly,ok
21130048816,0.25,2,this product is natural|this product is sustainable,ok
11150500517,1.0,8,this product is environmentally friendly|this product contains no artificial ingredients|this product is organic|this product is natural|this product is sustainable|this product is pure and clean|this product is healthy|this product contains no preservatives,ok
37983001007,0.375,3,this product is sustainable|this product is environmentally friendly|this product is healthy,ok
13609020447,0.5,4,this product is environmentally friendly|this product is sustainable|this product is organic|this product is healthy,ok
11150982375,0.75,6,this product is organic|this product is environmentally friendly|this product is natural|this product is healthy|this product is sustainable|this product is pure and clean,ok
41000022517,0.0,0,,ok
11213022505,0.0,0,,ok
41250642893,0.5,4,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable,ok
15400190022,0.875,7,this product is environmentally friendly|this product is organic|this product is healthy|this product contains no artificial ingredients|this product is sustainable|this product is pure and clean|this product is natural,ok
16291442559,1.0,8,this product contains no artificial ingredients|this product is environmentally friendly|this product is natural|this product is organic|this product is sustainable|this product is healthy|this product is pure and clean|this product contains no preservatives,ok
23923330030,0.75,6,this product is organic|this product is natural|this product is environmentally friendly|this product is healthy|this product is pure and clean|this product is sustainable,ok
36800422667,0.75,6,this product is organic|this product is natural|this product is healthy|this product is sustainable|this product is environmentally friendly|this product is pure and clean,ok
15400871495,0.375,3,this product is healthy|this product is environmentally friendly|this product is sustainable,ok
11110415646,0.125,1,this product is sustainable,ok
24000507918,0.75,6,this product is natural|this product is organic|this product contains no artificial ingredients|this product is healthy|this product is sustainable|this product is environmentally friendly,ok
41220973569,0.25,2,this product is environmentally friendly|this product is sustainable,ok
36800403161,0.75,6,this product is environmentally friendly|this product is organic|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
23204357466,0.25,2,this product is natural|this product is healthy,ok
11110711007,0.0,0,,ok
36800283558,0.5,4,this product is organic|this product is sustainable|this product is environmentally friendly|this product is healthy,ok
39153414853,0.75,6,this product is organic|this product is environmentally friendly|this product is natural|this product is sustainable|this product is healthy|this product is pure and clean,ok
15532101156,1.0,8,this product is environmentally friendly|this product is organic|this product is natural|this product is healthy|this product is pure and clean|this product contains no artificial ingredients|this product is sustainable|this product contains no preservatives,ok
20601408425,0.875,7,this product is environmentally friendly|this product is sustainable|this product is natural|this product is organic|this product is pure and clean|this product is healthy|this product contains no artificial ingredients,ok
